paramId,level,value
156,1000,154.731
156,975,363.722
156,950,588.141
156,925,816.83
156,900,1049.99
156,875,1287.77
156,850,1530.3
156,825,1778
156,800,2031.06
156,775,2289.96
156,750,2555.15
156,725,2827.12
156,700,3106.7
156,675,3394.27
156,650,3690.64
156,625,3996.41
156,600,4312
156,575,4638.87
156,550,4977.29
156,525,5329.37
156,500,5695.15
156,475,6077.28
156,450,6475.88
156,425,6892.87
156,400,7330.36
156,375,7789.76
156,350,8273.25
156,325,8783.68
156,300,9324.77
156,275,9901.45
156,250,10523.1
156,225,11204.9
156,200,11968.9
156,175,12839.8
156,150,13846.3
156,125,15031.9
156,100,16467.6
130,1000,296.828
130,975,295.517
130,950,293.819
130,925,291.419
130,900,289.016
130,875,286.586
130,850,284.115
130,825,281.684
130,800,279.247
130,775,276.87
130,750,274.572
130,725,272.652
130,700,270.745
130,675,268.864
130,650,266.991
130,625,265.176
130,600,263.153
130,575,261.331
130,550,259.354
130,525,257.459
130,500,255.362
130,475,253.219
130,450,250.821
130,425,248.08
130,400,244.844
130,375,241.388
130,350,237.54
130,325,233.354
130,300,228.788
130,275,224.533
130,250,221.649
130,225,221.126
130,200,222.387
130,175,223.259
130,150,222.881
130,125,221.435
130,100,218.485
157,1000,22
157,975,22
157,950,22
157,925,24
157,900,28
157,875,32
157,850,36
157,825,41
157,800,48
157,775,56
157,750,67
157,725,69
157,700,68
157,675,62
157,650,56
157,625,48
157,600,40
157,575,34
157,550,28
157,525,24
157,500,21
157,475,21
157,450,22
157,425,25
157,400,30
157,375,37
157,350,47
157,325,57
157,300,68
157,275,72
157,250,66
157,225,52
157,200,33
157,175,18
157,150,8
157,125,3
157,100,2
131,1000,-0.599649
132,1000,2.10045
131,975,-0.636124
132,975,2.10023
131,950,-0.631245
132,950,2.24352
131,925,-0.64725
132,925,2.41028
131,900,-0.597185
132,900,2.38206
131,875,-0.594889
132,875,2.3327
131,850,-0.433828
132,850,2.32248
131,825,-0.363355
132,825,2.21722
131,800,-0.254436
132,800,2.16861
131,775,0.902792
132,775,1.21652
131,750,2.88074
132,750,-0.0294495
131,725,5.22486
132,725,-0.727036
131,700,7.05378
132,700,-0.994476
131,675,7.98038
132,675,-0.62587
131,650,8.73878
132,650,-0.185074
131,625,9.51676
132,625,0.191437
131,600,10.5654
132,600,0.500092
131,575,12.1237
132,575,0.556061
131,550,13.9549
132,550,0.685715
131,525,15.9216
132,525,0.610199
131,500,17.9776
132,500,0.629059
131,475,20.1284
132,475,0.639297
131,450,22.2807
132,450,0.843414
131,425,24.147
132,425,1.10597
131,400,25.6777
132,400,1.61024
131,375,27.1083
132,375,2.03636
131,350,28.3919
132,350,2.20447
131,325,30.4077
132,325,1.95049
131,300,33.0276
132,300,1.6732
131,275,35.9339
132,275,1.43822
131,250,37.2216
132,250,1.13957
131,225,35.3467
132,225,-0.169022
131,200,29.1735
132,200,-1.0538
131,175,21.5445
132,175,-0.891418
131,150,16.0024
132,150,-1.18559
131,125,9.84749
132,125,0.0272522
131,100,6.68701
132,100,1.55217
135,1000,-0.169998
135,975,-0.169998
135,950,-0.138748
135,925,-0.0762482
135,900,-0.0137482
135,875,0.028368
135,850,0.0725718
135,825,0.124607
135,800,0.177764
135,775,0.281757
135,750,0.390488
135,725,0.484777
135,700,0.468323
135,675,0.420911
135,650,0.331059
135,625,0.243681
135,600,0.166811
135,575,0.122132
135,550,0.113971
135,525,0.0897789
135,500,0.112323
135,475,0.104726
135,450,0.0836763
135,425,0.0511999
135,400,-0.03228
135,375,-0.0667648
135,350,-0.105556
135,325,-0.101957
135,300,-0.0808277
135,275,-0.10754
135,250,-0.0478706
135,225,-0.00749588
135,200,0.0154247
135,175,-0.0170784
135,150,-0.00436419
135,125,0.019529
135,100,-5.58496e-05
260323,0,101848
134,0,95014
3,2,300.793
168,2,271.08
165,10,-0.770796
166,10,2.08383
167,2,296.427
133,2,0.00344006
3014,0,310.377
59,0,0
228001,0,-1.00945
260127,500,4.53375
260128,18000,4.94829
260029,0,0
260030,0,0
260031,0,0
260032,0,0
260125,3000,40.0304
54,0,73064.8
156,0,2760
157,0,70
54,0,24671.1
3,0,330.694
131,0,37.453
132,0,0.997879
54,0,25159.1
131,0,37.6894
132,0,1.25316
3059,0,0
260187,0,2.39234e-06
260175,0,0
130,3000,293.009
157,3000,22.5167
131,3000,-0.957041
132,3000,2.45023
135,3000,-0.187492
130,6000,289.855
157,6000,26.2408
131,6000,-0.885483
132,6000,2.45059
135,6000,-0.133085
130,9000,286.599
157,9000,31.8377
131,9000,-0.723623
132,9000,2.36458
135,9000,-0.102191
130,12000,283.163
157,12000,38
131,12000,-0.547181
132,12000,2.22827
135,12000,-0.0391665
130,15000,279.985
157,15000,45
131,15000,-0.401762
132,15000,2.17772
135,15000,0.0242987
130,18000,277.09
157,18000,53.5
131,18000,-0.187637
132,18000,1.95598
135,18000,0.21059
260125,1000,3.10173
228002,0,642.903
54,0,73116.6
156,0,2760
157,0,70
3066,0,0
3054,0,12.4747
260242,2,20
260174,0,0
260070,6000,3.94436
260071,6000,-6.27954
260083,0,2516.5
260065,0,5.32493
156,0,9999
156,0,9999
3020,0,51215.4
260325,25500,86369.9
156,0,-5000
156,0,607.8
130,0,221.525
59,25500,0
228001,25500,-1.00945
130,0,306.878
3041,500,0.000143889
156,0,2343.68
260390,0,-10
260389,1000,-10
260389,4000,-10
260056,0,0
3003,0,-0.017
