TYPE,PRESSURE,HEIGHT,TEMP,DEWPT,WIND_DIR,WIND_SPD
0,1000,54,,,,
0,950,491,152,72,25,8
0,947,517,144,64,24,8
0,927,694,124,44,20,10
0,925,712,120,40,20,10
0,921,748,116,36,20,10
0,915,802,112,35,20,10
0,899,949,100,33,60,12
0,860,1317,70,28,80,12
0,856,1355,68,27,82,12
0,850,1413,74,4,85,12
0,843,1481,76,-24,92,12
0,840,1511,76,-14,95,12
0,833,1579,70,-10,102,13
0,757,2359,26,-101,180,19
0,756,2370,26,-102,185,19
0,753,2402,24,-106,184,19
0,722,2740,-2,-142,175,12
0,719,2774,-5,-145,177,12
0,700,2987,-21,-131,190,17
0,692,3078,-23,-113,195,20
0,661,3440,-53,-99,214,28
0,651,3559,-62,-104,220,31
0,636,3741,-76,-112,215,33
0,623,3902,-89,-119,212,32
